"","jobTitle","location","skill","count"
"276","Data Scientist | Brisbane Based","Brisbane","Phd","0"
"277","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","Python","1"
"278","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","programming","0"
"279","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","analytics","2"
"280","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","mathematics","0"
"281","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","machine learning","4"
"282","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","team","4"
"283","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","Cooperation","0"
"284","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","statistics","1"
"285","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","SQL","1"
"286","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","communication","0"
"287","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","big data","0"
"288","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","design","0"
"289","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","visualization","0"
"290","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","Hadoop","0"
"291","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","Java","1"
"292","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","research","0"
"293","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","creative","1"
"294","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","MATLAB","0"
"295","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","SAS","0"
"296","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney"," R ","0"
"297","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","Modelling","0"
"298","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","(C++)","117"
"299","Lead Data Scientist / Data Scientist Manager  - Bangkok","Sydney","Phd","0"
"300","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","Python","1"
"301","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","programming","0"
"302","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","analytics","2"
"303","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","mathematics","0"
"304","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","machine learning","2"
"305","Data Scientist / Machine Learning Expert - Bangkok, Thailand","Perth","team","0"
